Reference, Value, Footprint, Datasheet
"D2","D_Schottky","","~"
"D3","D_Schottky","","~"
"R14","1k 1%","","~"
"R7","1M 1%","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~"
"R4","1k 1%","","~"
"R3","1k 1%","","~"
"J2","Conn_Coaxial","mini_scope:BNC_Amphenol_B6252HB-NPP3G-50_Horizontal"," ~"
"C4","1u","","~"
"R15","1k 1%","","~"
"C8","1u","","~"
"C5","1n","","~"
"C10","10u","","~"
"C13","100n","","~"
"C14","100n","","~"
"C15","100n","","~"
"C6","100n","","~"
"C7","100n","","~"
"J4","STK3700_exp_conn","",""
"U1","FT232RL","Package_SO:SSOP-28_5.3x10.2mm_P0.65mm","https://www.ftdichip.com/Support/Documents/DataSheets/ICs/DS_FT232R.pdf"
"R2","22","","~"
"R1","22","","~"
"U6","CRE1S0505SC","Converter_DCDC:Converter_DCDC_muRata_CRE1xxxxxxSC_THT","http://power.murata.com/datasheet?/data/power/ncl/kdc_cre1.pdf"
"R6","1k","","~"
"D1","1N4007","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal","http://www.vishay.com/docs/88503/1n4001.pdf"
"Q1","BC848","Package_TO_SOT_SMD:SOT-23","http://www.infineon.com/dgdl/Infineon-BC847SERIES_BC848SERIES_BC849SERIES_BC850SERIES-DS-v01_01-en.pdf?fileId=db3a304314dca389011541d4630a1657"
"R10","470","","~"
"R12","470","","~"
"U4","TLP2761","Package_SO:SO-6L_10x3.84mm_P1.27mm","https://toshiba.semicon-storage.com/info/docget.jsp?did=28819&prodName=TLP2761"
"J1","USB_B_Mini","","~"
"D5","LED","LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~"
"R9","270","","~"
"R11","270","","~"
"R13","470","","~"
"C3","100n","","~"
"U5","TLP2761","Package_SO:SO-6L_10x3.84mm_P1.27mm","https://toshiba.semicon-storage.com/info/docget.jsp?did=28819&prodName=TLP2761"
"R16","470","","~"
"C18","10u","","~"
"C9","100n","","~"
"C20","100n","","~"
"C17","100n","","~"
"C19","100n","","~"
"R8","1k","","~"
"C16","470u","Capacitor_SMD:CP_Elec_8x10.5","~"
"C1","100n","","~"
"C2","100n","","~"
"C12","470u","Capacitor_SMD:CP_Elec_8x10.5","~"
"C11","10u","","~"
"F1","Polyfuse_Small","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~"
"J3","Conn_01x03_Male","","~"
"D4","LED","LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~"
"U3","OPA340UA","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","http://www.ti.com/lit/ds/symlink/opa340.pdf"
"U2","OPA340UA","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","http://www.ti.com/lit/ds/symlink/opa340.pdf"
"R5","1k","","~"
"K1","G5LE-1","Relay_THT:Relay_SPDT_Omron-G5LE-1","http://www.omron.com/ecb/products/pdf/en-g5le.pdf"
